instructions,inputs,aspects,outputs
Please extract the sentiment polarity for the given aspect in the review:,enfim maravilhoso e o preço muito justo.,preço,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Room Tip: os apartamentos são um pouco pequenos, portanto aconselho a não levar malas muito grandes",apartamento,negativa
Please extract the sentiment polarity for the given aspect in the review:,"O Trump International Las Vegas é o que há de mais luxuoso, acompanhado de excelentes acomodações e serviços.",serviço,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O ponto alto vai para a suite, além de fornecer uma excelente vista da cidade é extremamente aconchegante, limpa e funcional.",cidade,neutra
Please extract the sentiment polarity for the given aspect in the review:,"O banheiro é impecável, com uma ótima banheira e ótimo chuveiro.",banheira,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O banheiro é impecável, com uma ótima banheira e ótimo chuveiro.",chuveiro,positiva
Please extract the sentiment polarity for the given aspect in the review:,Ótima opção para casais e família que buscam fugir de hotéis com cassinos.,família,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Boa localização, limpeza média, bom café da manhã.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Boa localização, limpeza média, bom café da manhã.",café da manhã,positiva
Please extract the sentiment polarity for the given aspect in the review:,Jantar no hotel custa caro (e vem pouco).,jantar,negativa
Please extract the sentiment polarity for the given aspect in the review:,Jantar no hotel custa caro (e vem pouco).,hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Apartamentos novos, sem carpete (piso madeira laminada) e equipamentos do banheiro funcionam bem, porém banheiro extremamente pequeno.",apartamento,positiva
Please extract the sentiment polarity for the given aspect in the review:,Ps.: Existe um funcionário na recepção que fala português (Patrick).,recepção,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Hotel fica muito bem localizado, a poucas quadras do Central Park, VICTORIA SECRETS, TIMES SQUARE, 5 AVENIDA , BROADWAY, ótimo atendimento.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Hotel fica muito bem localizado, a poucas quadras do Central Park, VICTORIA SECRETS, TIMES SQUARE, 5 AVENIDA , BROADWAY, ótimo atendimento.",atendimento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O hotel tem valor acessível levando-se em conta sua localização, a poucos passos do Arco do Triunfo.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,Os funcionários foram bem atenciosos e prestativos todos os dias.,funcionários,positiva
Please extract the sentiment polarity for the given aspect in the review:,Os quartos são bons e limpos.,quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O café da manhã achei fraco, podia ter um pouco mais de variedade.",café da manhã,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Adorei o hotel, foi todo reformado os quartos são excelentes, o serviço é ótimo e o atendimento foi demais.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Adorei o hotel, foi todo reformado os quartos são excelentes, o serviço é ótimo e o atendimento foi demais.",serviço,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Adorei o hotel, foi todo reformado os quartos são excelentes, o serviço é ótimo e o atendimento foi demais.",atendimento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Quando cheguei para o chek in às 21:30 não havia quarto disponível com cama King Size, então fui colocado em outro quarto para no outro dia ser alocado no que eu queria, não só fui colocado no quarto que queria como me colocaram no 49º andar e ainda tinha uma mesa de queijos franceses e uma garrafa de vinho com desculpas do gerente, isto sim é profissionalismo.",gerente,positiva
Please extract the sentiment polarity for the given aspect in the review:,hotel muito bem localizado proximo a praça da bastilha tem restaurantes supermercados e uma feira bem enfrente ao hotel para se locomover tem metrô a poucos passos do hotel o quarto bem espaçosos tem uma mini cozinha banheiro grande   os funcionarios nao sao la muito gentis  Room Tip: todos os apartamentos seguem um mesmo padrao a diferenca apenas no tamanho que pode ser para 2 ou at...,hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,hotel muito bem localizado proximo a praça da bastilha tem restaurantes supermercados e uma feira bem enfrente ao hotel para se locomover tem metrô a poucos passos do hotel o quarto bem espaçosos tem uma mini cozinha banheiro grande   os funcionarios nao sao la muito gentis  Room Tip: todos os apartamentos seguem um mesmo padrao a diferenca apenas no tamanho que pode ser para 2 ou at...,praça,neutra
Please extract the sentiment polarity for the given aspect in the review:,hotel muito bem localizado proximo a praça da bastilha tem restaurantes supermercados e uma feira bem enfrente ao hotel para se locomover tem metrô a poucos passos do hotel o quarto bem espaçosos tem uma mini cozinha banheiro grande   os funcionarios nao sao la muito gentis  Room Tip: todos os apartamentos seguem um mesmo padrao a diferenca apenas no tamanho que pode ser para 2 ou at...,quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,hotel muito bem localizado proximo a praça da bastilha tem restaurantes supermercados e uma feira bem enfrente ao hotel para se locomover tem metrô a poucos passos do hotel o quarto bem espaçosos tem uma mini cozinha banheiro grande   os funcionarios nao sao la muito gentis  Room Tip: todos os apartamentos seguem um mesmo padrao a diferenca apenas no tamanho que pode ser para 2 ou at...,cozinha,positiva
Please extract the sentiment polarity for the given aspect in the review:,hotel muito bem localizado proximo a praça da bastilha tem restaurantes supermercados e uma feira bem enfrente ao hotel para se locomover tem metrô a poucos passos do hotel o quarto bem espaçosos tem uma mini cozinha banheiro grande   os funcionarios nao sao la muito gentis  Room Tip: todos os apartamentos seguem um mesmo padrao a diferenca apenas no tamanho que pode ser para 2 ou at...,apartamento,neutra
Please extract the sentiment polarity for the given aspect in the review:,Excelente localização!!,localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O quarto é bem limpo, o banheiro é ótimo para nenhum brasileiro ficar preocupado quanto ao banho, cama ótima e a comida do hotel também é boa: café da manhã e jantar que devem ser pagos a parte.",quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O quarto é bem limpo, o banheiro é ótimo para nenhum brasileiro ficar preocupado quanto ao banho, cama ótima e a comida do hotel também é boa: café da manhã e jantar que devem ser pagos a parte.",cama,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O quarto é bem limpo, o banheiro é ótimo para nenhum brasileiro ficar preocupado quanto ao banho, cama ótima e a comida do hotel também é boa: café da manhã e jantar que devem ser pagos a parte.",café da manhã,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O quarto é bem limpo, o banheiro é ótimo para nenhum brasileiro ficar preocupado quanto ao banho, cama ótima e a comida do hotel também é boa: café da manhã e jantar que devem ser pagos a parte.",jantar,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Hotel pequeno, sem serviço de quarto, recepção ruim.",hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Hotel pequeno, sem serviço de quarto, recepção ruim.",serviço de quarto,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Hotel pequeno, sem serviço de quarto, recepção ruim.",quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Hotel pequeno, sem serviço de quarto, recepção ruim.",recepção,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Ar condicionado caído aos pedaços, banheiro com porta de PVC sem ducha higiênica, toalhas velhas e utensílios de banho horríveis.",ducha,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Ar condicionado caído aos pedaços, banheiro com porta de PVC sem ducha higiênica, toalhas velhas e utensílios de banho horríveis.",toalha,negativa
Please extract the sentiment polarity for the given aspect in the review:,Acesso aos quartos por escadas.,escada,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Café da manhã compartilhado com o Hotel Expresso, horrível.",café da manhã,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Hotel muito ruim, cheiro de mofo.",hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,Já no check-in fui informado que a lavanderia atrasou na entrega de toalhas!!,lavanderia,negativa
Please extract the sentiment polarity for the given aspect in the review:,Já no check-in fui informado que a lavanderia atrasou na entrega de toalhas!!,toalha,neutra
Please extract the sentiment polarity for the given aspect in the review:,Conheci o hotelpelo Booking.com e foi uma ótima escolha.,hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,Limpeza e gentileza o tempo todo.,limpeza,positiva
Please extract the sentiment polarity for the given aspect in the review:,Ponto ruim: sem elevador!,elevador,negativa
Please extract the sentiment polarity for the given aspect in the review:,Room Tip: as suítes de final 1 geralmente são maiores e deixam clientes com família nesses.,suíte,neutra
Please extract the sentiment polarity for the given aspect in the review:,Room Tip: as suítes de final 1 geralmente são maiores e deixam clientes com família nesses.,família,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Quando cheguei já estavam com as minhas encomendas, que haviam chegado da compra que fiz pela internet.",internet,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Fiquei no quarto padrão com banheira, que é grande para os padrões de NY!",quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Fiquei no quarto padrão com banheira, que é grande para os padrões de NY!",banheira,positiva
Please extract the sentiment polarity for the given aspect in the review:,Achei a cama muito confortável e o quarto era limpo.,cama,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Bem localizado no centro da cidade baixa, proximo de supermercado, shopping e lojas...",centro da cidade,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Bem localizado no centro da cidade baixa, proximo de supermercado, shopping e lojas...",cidade,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Bem localizado no centro da cidade baixa, proximo de supermercado, shopping e lojas...",shopping,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Bem localizado no centro da cidade baixa, proximo de supermercado, shopping e lojas...",lojas,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Apesar da estrutura estar em obras, ofereceu bom atendimento.. possui ponto de taxi próximo e a estrutura física do hotel está em reforma.... só não tinha elevador, pois está em manutenção.",atendimento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Apesar da estrutura estar em obras, ofereceu bom atendimento.. possui ponto de taxi próximo e a estrutura física do hotel está em reforma.... só não tinha elevador, pois está em manutenção.",hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Apesar da estrutura estar em obras, ofereceu bom atendimento.. possui ponto de taxi próximo e a estrutura física do hotel está em reforma.... só não tinha elevador, pois está em manutenção.",elevador,negativa
Please extract the sentiment polarity for the given aspect in the review:,Bem localizado com preço bom.,preço,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Não reserve com café da manhã, é caro.",café da manhã,negativa
Please extract the sentiment polarity for the given aspect in the review:,Tem um parque de diversões dentro do hotel.,hotel,neutra
Please extract the sentiment polarity for the given aspect in the review:,A localização é excelente e o custo também se comprado com relativa antecedência.,localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O quarto normalmente possui duas camas grandes, padrão americano.",cama,positiva
Please extract the sentiment polarity for the given aspect in the review:,O estacionamento é gratuito.,estacionamento,positiva
Please extract the sentiment polarity for the given aspect in the review:,Lamentável.....simplesmente horrível este hotel!,hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Após passar uma semana em lua de mel em um hotel excelente, eu e minha esposa, chegamos em Poa com a intenção de permanecer em um hotel com um custo razoável, e pelas fotos do site e pelo preço, resolvemos nos hospedar no mesmo.",preço,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Ao chegar, já a primeira impressão, na recepção, foi ruim, pois além de estar em reforma a aparência era ruim.",recepção,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Ao chegar no quarto a sensação foi de espanto total, o quarto era mto velho, cheio de mofo, as cortinas rasgadas e imundas, a fiação aparecendo no teto, o banheiro podre, inclusive com uma esponja usada pendurada no registro.",quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,Chegamos e saímos para o shopping para não precisar permanecer no hotel.,shopping,neutra
Please extract the sentiment polarity for the given aspect in the review:,"O hotel e bom, porém tem um inconveniente grave, poucos elevadores para muitos apartamentos...",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O hotel e bom, porém tem um inconveniente grave, poucos elevadores para muitos apartamentos...",elevador,negativa
Please extract the sentiment polarity for the given aspect in the review:,"A localização não me agradou, muito boca...",localização,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Apesar de possuir quartos pequenos, o hotel é muito charmoso e super bem localizado: a apenas uma quadra do Arco do Triunfo.",quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Apesar de possuir quartos pequenos, o hotel é muito charmoso e super bem localizado: a apenas uma quadra do Arco do Triunfo.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O café da manhã era muito saboroso, com vários tipos de pães e queijos, além de frutas, iogurte, sucos etc.",café da manhã,positiva
Please extract the sentiment polarity for the given aspect in the review:,Tem cozinha completa que permite fazer lanches e café da manhã.,cozinha,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Para que quiser tomar café no próprio hotel, é o padrão americano, sem muita variedade e quase sempre tem que esperar por um lugar.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,A localização é segura e perfeita para quem quer proximidade com a Broadway.,localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"A limpeza é boa e os funcionários muito atenciosos, se esforçando para falar alguma coisa em português.",limpeza,positiva
Please extract the sentiment polarity for the given aspect in the review:,"A limpeza é boa e os funcionários muito atenciosos, se esforçando para falar alguma coisa em português.",funcionários,positiva
Please extract the sentiment polarity for the given aspect in the review:,Os pontos fortes são ótima localização e atendimento em português pela maioria dos recepcionista.,localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,Os pontos fortes são ótima localização e atendimento em português pela maioria dos recepcionista.,atendimento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O que desagradou foi o box do chuveiro que, no nosso quarto, era realmente muito pequeno e com cortinas de plástico, ao limite de tornar difícil um banho sem molhar todo o banheiro.",chuveiro,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Além de abrirem o meu quarto (mesmo com o sinal de não incomode), quando eu cheguei, a minha porta estava aberta (com todos meus pertences disponível pra quem tivesse interesse em olhar.",quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Fora isso, o hotel é bomzinho.",hotel,neutra
Please extract the sentiment polarity for the given aspect in the review:,Estive agora em setembro pela segunda vez neste aconchegante hotel na fronteira entre Quartier Latin e Saint German de Pres.,hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Mesmo com o intervalo de 18 anos entre uma visita e outra, o Hotel manteve o mesmo nível de atendimento e conforto.",atendimento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Mesmo com o intervalo de 18 anos entre uma visita e outra, o Hotel manteve o mesmo nível de atendimento e conforto.",conforto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Pessoal da recepção falando também inglês, localização maravilhosa, no ponto mais charmoso e boêmio de Paris.",recepção,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Pessoal da recepção falando também inglês, localização maravilhosa, no ponto mais charmoso e boêmio de Paris.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Funcionários gentis, quartos novos e limpos (não são enormes, mas coube nossas 4 malas!), internet wi fi de graça, na esquina da rua tem uma estação de metrô e um Starbucks.",funcionários,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Funcionários gentis, quartos novos e limpos (não são enormes, mas coube nossas 4 malas!), internet wi fi de graça, na esquina da rua tem uma estação de metrô e um Starbucks.",quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Funcionários gentis, quartos novos e limpos (não são enormes, mas coube nossas 4 malas!), internet wi fi de graça, na esquina da rua tem uma estação de metrô e um Starbucks.",internet,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Funcionários gentis, quartos novos e limpos (não são enormes, mas coube nossas 4 malas!), internet wi fi de graça, na esquina da rua tem uma estação de metrô e um Starbucks.",rua,neutra
Please extract the sentiment polarity for the given aspect in the review:,"O Café da manhã servido no hotel, e incluso no valor da diária, é honesto, porém o salão onde é servido é bem pequeno.",café da manhã,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O Café da manhã servido no hotel, e incluso no valor da diária, é honesto, porém o salão onde é servido é bem pequeno.",hotel,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Bonito: os móveis e a decoração são de extremo bom gosto, com equipamentos novos e funcionando perfeitamente.",móveis,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Aconchegante: o quarto, as camas, travesseiros e edredons são um convite ao descanso.",quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Aconchegante: o quarto, as camas, travesseiros e edredons são um convite ao descanso.",cama,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Aconchegante: o quarto, as camas, travesseiros e edredons são um convite ao descanso.",travesseiro,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Atendimento e serviço nota 10: tudo limpíssimo, sempre arrumado, desde a recepção até o quarto.",atendimento,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Atendimento e serviço nota 10: tudo limpíssimo, sempre arrumado, desde a recepção até o quarto.",serviço,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Atendimento e serviço nota 10: tudo limpíssimo, sempre arrumado, desde a recepção até o quarto.",recepção,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Atendimento do lobby, concierge e serviço de quarto nota 10!",serviço de quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O hotel Açores é antigo, mas tem uma ótima relação custo benefício, estando bem no centro de Porto Alegre!",hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Fica próximo à um dos principais pontos turísticos de Porto Alegre, a Casa de Cultura Mário Quintana, lugar muito interessante de se visitar, principalmente o restaurante no andar mais elevado, fica próximo ao shopping Rua da Praia, que não é shopping grande, mas cumpre a finalidade para caixas automáticos, Macdonalds e restaurantes!",shopping,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Fica próximo à um dos principais pontos turísticos de Porto Alegre, a Casa de Cultura Mário Quintana, lugar muito interessante de se visitar, principalmente o restaurante no andar mais elevado, fica próximo ao shopping Rua da Praia, que não é shopping grande, mas cumpre a finalidade para caixas automáticos, Macdonalds e restaurantes!",rua,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Fica próximo à um dos principais pontos turísticos de Porto Alegre, a Casa de Cultura Mário Quintana, lugar muito interessante de se visitar, principalmente o restaurante no andar mais elevado, fica próximo ao shopping Rua da Praia, que não é shopping grande, mas cumpre a finalidade para caixas automáticos, Macdonalds e restaurantes!",praia,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Café da manhã muito bem variado, com frios e ovos mexidos por exemplo...",café da manhã,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Hotel muito requintado,otima localizacao, academia muito boa,transfer para o Wynn e pro Ceasars jah inclusos na taxa de $19,50(resort fee) por dia.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,Por naum ter cassino o hotel eh muito tranquilo.,cassino,positiva
Please extract the sentiment polarity for the given aspect in the review:,"a resort fee deles inclui: internet,academia,piscina, garrafas de agua a qualquer momento,jornal e os tranfers como citei acima, achei razoavel.",piscina,neutra
Please extract the sentiment polarity for the given aspect in the review:,Hotel muito apertado.,hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,Uma mega escada para ter acesso.,escada,negativa
Please extract the sentiment polarity for the given aspect in the review:,Nao há elevador.,elevador,neutra
Please extract the sentiment polarity for the given aspect in the review:,"O corredor é minusculo, a cozinha também.",corredor,negativa
Please extract the sentiment polarity for the given aspect in the review:,"O corredor é minusculo, a cozinha também.",cozinha,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Padrão Ibis - em todo lugar é bom, simples, sem luxo.",padrão,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Quarto pequeno, banheiro bem pequeno, mas cama confortável e chuveiro quente.",cama,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Quarto pequeno, banheiro bem pequeno, mas cama confortável e chuveiro quente.",chuveiro,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Excelente localização, bem próximo a estação Cambronne de metro e ao lado de vários restaurantes gostosos.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Hotel muito bom, bem conservado, próximo de restaurantes, bistrôs e de uma estação de metrô.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,Quarto bom.,quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Localização excelente, ao lado do rockefeller center a 100 ,metros da 5th Avenue!",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,Optima relação preço qualidade.,preço,positiva
Please extract the sentiment polarity for the given aspect in the review:,A começar pelo recepcionista que cobrou o valor de uma diaria de um quarto como valor de diária de apto.,quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,Fora que o hotel está sendo reformado e tem entulhos por todos os lados.,hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,O elevador parece que vai cair.,elevador,negativa
Please extract the sentiment polarity for the given aspect in the review:,Cama confortável e limpa.,cama,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Hotel feito somente para dormir, antes de uma viagem, café da manha bem simples, lanches até de madrugada, preço justo pelo serviço prestado.",hotel,neutra
Please extract the sentiment polarity for the given aspect in the review:,"Hotel feito somente para dormir, antes de uma viagem, café da manha bem simples, lanches até de madrugada, preço justo pelo serviço prestado.",preço,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Hotel feito somente para dormir, antes de uma viagem, café da manha bem simples, lanches até de madrugada, preço justo pelo serviço prestado.",serviço,neutra
Please extract the sentiment polarity for the given aspect in the review:,Chuveiro demora demais a aquecer.,chuveiro,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Cafezinho sempre quentinho na recepção, internet muito ruim.",recepção,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Cafezinho sempre quentinho na recepção, internet muito ruim.",internet,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Recepcionistas atenciosos, além disso o hotel possui translado gratuito para o aeroporto, em 5 min.",aeroporto,neutra
Please extract the sentiment polarity for the given aspect in the review:,Hotel super bem localizado no Fashion district.,hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Apartamentos pequenos, mas camas super confortáveis e chuveiro muito bom!",apartamento,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Apartamentos pequenos, mas camas super confortáveis e chuveiro muito bom!",cama,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Apartamentos pequenos, mas camas super confortáveis e chuveiro muito bom!",chuveiro,positiva
Please extract the sentiment polarity for the given aspect in the review:,Café da manhã com boa variedade.,café da manhã,positiva
Please extract the sentiment polarity for the given aspect in the review:,"No café, os funcionários da cozinha, dão garrafas de água para os hospedes levarem para o quarto.",funcionários,positiva
Please extract the sentiment polarity for the given aspect in the review:,Internet gratuíta.,internet,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O hotel é bom, limpo, bem localizado, mas faltam algumas coisas.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Não tem frigobar no quarto, nem microondas.",frigobar,negativa
Please extract the sentiment polarity for the given aspect in the review:,A internet é por cabo (o que não conecta celular nem IPAD).,internet,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Os quartos são limpos, a cama é boa, quarto com bom espaço, o banheiro podia ter uma manutenção melhor,o chuveiro ficava um bom tempo pingando e as toalhas eram velhas e tinham cheiro estranho.",cama,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Os quartos são limpos, a cama é boa, quarto com bom espaço, o banheiro podia ter uma manutenção melhor,o chuveiro ficava um bom tempo pingando e as toalhas eram velhas e tinham cheiro estranho.",chuveiro,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Os quartos são limpos, a cama é boa, quarto com bom espaço, o banheiro podia ter uma manutenção melhor,o chuveiro ficava um bom tempo pingando e as toalhas eram velhas e tinham cheiro estranho.",toalha,negativa
Please extract the sentiment polarity for the given aspect in the review:,"As pessoas extremamente simpáticas e atenciosas, o café da manhã muito bom.",café da manhã,positiva
Please extract the sentiment polarity for the given aspect in the review:,"todos sempre dispostos a orientar os turistas dando boas dicas e os quartos sempre limpos e o ambiente muito agradavél todos os funcionários falam inglês, não é um hotel típico frances, pois é novo, e fica a 5 minutos do metro, e dá para andar até o centro de PARIS",turista,neutra
Please extract the sentiment polarity for the given aspect in the review:,"todos sempre dispostos a orientar os turistas dando boas dicas e os quartos sempre limpos e o ambiente muito agradavél todos os funcionários falam inglês, não é um hotel típico frances, pois é novo, e fica a 5 minutos do metro, e dá para andar até o centro de PARIS",quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"todos sempre dispostos a orientar os turistas dando boas dicas e os quartos sempre limpos e o ambiente muito agradavél todos os funcionários falam inglês, não é um hotel típico frances, pois é novo, e fica a 5 minutos do metro, e dá para andar até o centro de PARIS",funcionários,positiva
Please extract the sentiment polarity for the given aspect in the review:,"todos sempre dispostos a orientar os turistas dando boas dicas e os quartos sempre limpos e o ambiente muito agradavél todos os funcionários falam inglês, não é um hotel típico frances, pois é novo, e fica a 5 minutos do metro, e dá para andar até o centro de PARIS",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Ao chegar ao Hotel me assustei um pouco com a entrada que é apertada e com pouca estrutura, apenas o espaço da recepção.",hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,O quarto também é muito apertado comparado aos hotéis do mesmo nível quefiquei na Europa.,quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,O serviço deixou a desejar.,serviço,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Tem uma boa localização, à 20 mint andando da Torre Eiffel e ao lado da estação de metrô.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"Hotel horrível, a única coisa que presta é a localização, esta sim excelente.",hotel,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Hotel horrível, a única coisa que presta é a localização, esta sim excelente.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O hotel é imundo, velho, barulhento, os quartos são sujos e não ha serviço de limpeza.",quarto,negativa
Please extract the sentiment polarity for the given aspect in the review:,"O hotel é imundo, velho, barulhento, os quartos são sujos e não ha serviço de limpeza.",limpeza,negativa
Please extract the sentiment polarity for the given aspect in the review:,"Tinhamos que arrumar nossas próprias camas e precisamos comprar papel higiênico, pois apesar das solicitações eles não repuseram.",cama,neutra
Please extract the sentiment polarity for the given aspect in the review:,"O hotel tem uma localização excelente: próximo dos principais pontos turísticos Paris, como Les invalides (da qual se tem uma vista maravilhosa) e da torre Eiffel.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O hotel tem uma localização excelente: próximo dos principais pontos turísticos Paris, como Les invalides (da qual se tem uma vista maravilhosa) e da torre Eiffel.",localização,positiva
Please extract the sentiment polarity for the given aspect in the review:,Os quartos são bem arrumados e o banheiro é amplo.,quarto,positiva
Please extract the sentiment polarity for the given aspect in the review:,Os funcionários são atenciosos e o café da manhã é bom.,funcionários,positiva
Please extract the sentiment polarity for the given aspect in the review:,Os funcionários são atenciosos e o café da manhã é bom.,café da manhã,positiva
Please extract the sentiment polarity for the given aspect in the review:,Só um incoveniente: o elevador pequeno.,elevador,negativa
Please extract the sentiment polarity for the given aspect in the review:,"O hotel é bem localizado, a 2 quarteirões do metrô Louxembourg que tem linha direta com o aeroporto Charles De Gaulle; a 1 quarteirão do Pantheon e da Praça Sorbonne.",hotel,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O hotel é bem localizado, a 2 quarteirões do metrô Louxembourg que tem linha direta com o aeroporto Charles De Gaulle; a 1 quarteirão do Pantheon e da Praça Sorbonne.",aeroporto,positiva
Please extract the sentiment polarity for the given aspect in the review:,"O hotel é bem localizado, a 2 quarteirões do metrô Louxembourg que tem linha direta com o aeroporto Charles De Gaulle; a 1 quarteirão do Pantheon e da Praça Sorbonne.",praça,positiva
Please extract the sentiment polarity for the given aspect in the review:,O preço é muito bom e tem vários restaurantes pertos com preços camaradas.,preço,positiva
Please extract the sentiment polarity for the given aspect in the review:,"É um hotel pequeno mas com o conforto necessário, limpo, os funcionarios são muito atenciosos e sempre dispostos a ajudar.",hotel,positiva
