inputs,instructions,outputs
Please extract the aspect terms in the review:,"Apesar de nao muito grandes, os quartos e banheiros são modernos, bonitos e bem decorados.",quarto
Please extract the aspect terms in the review:,"Em 2012 viajarei para a Escandinavia com uma parada em Paris, ao final da viagem.",Ningún aspecto
Please extract the aspect terms in the review:,Me hospedarei no Cadran uma terceira vez com certeza.,Ningún aspecto
Please extract the aspect terms in the review:,"Hotel de ótima localização, perto de tudo, quartos limpos e organizados, café da manhã de boa qualidade e funcionários muito atenciosos.",hotel [ssep] localização [ssep] quarto [ssep] café da manhã [ssep] funcionários
Please extract the aspect terms in the review:,"Metrô ao lado e uma farmácia (Duane Reade) na esquina aberta 24hs, que vende quase de tudo.",farmácia
Please extract the aspect terms in the review:,"Room Tip: Ficamos no 29 andar, não há barulho e também não tivemos problemas com os elevadores que funcionavam...",elevador
Please extract the aspect terms in the review:,"Ficamos hospedados por 3 noites com nossos filhos (07 e 02 anos), do dia 13.12.12 a 16.12.12.",Ningún aspecto
Please extract the aspect terms in the review:,Para viagem com crianças este hotel é ótima opção.,Ningún aspecto
Please extract the aspect terms in the review:,"Quarto amplo, limpo e bem equipado.",quarto
Please extract the aspect terms in the review:,Possuem wifi gratuita e são disponibilizados computadores no lobby do hotel.,hotel
Please extract the aspect terms in the review:,"A localização também é excelente, próximo à Times Square.",localização
Please extract the aspect terms in the review:,Nada a reclamar.,Ningún aspecto
Please extract the aspect terms in the review:,Pedi um andar alto e fui atendido.,Ningún aspecto
Please extract the aspect terms in the review:,"A equipe é um pouco impessoal, mas bem solícita e educada.",Ningún aspecto
Please extract the aspect terms in the review:,O hotel recebeu e armazenou várias compras que fiz no Amazon e não cobrou qualquer taxa.,Ningún aspecto
Please extract the aspect terms in the review:,"Pela localização que eu precisava, para pegar um TGV para Marselhe, perfeito, o quarto que podia ser um pouco maior, mas passa, e tenho que fazer um comentário a respeito de um funcionário, sr João Batista, execelente funcionário muito prestativo, pois mesmo sem falar portugues e espanhol me orientou a respeito do serviço de guarda de bagagens, que funciona muito bem também.",localização [ssep] quarto [ssep] serviço
Please extract the aspect terms in the review:,Ótimo atendimento.,atendimento
Please extract the aspect terms in the review:,Mesmo com 0 graus o quarto era quente.,quarto
Please extract the aspect terms in the review:,Muito bom.,Ningún aspecto
Please extract the aspect terms in the review:,"Bem localizado, perto de tudo.",Ningún aspecto
Please extract the aspect terms in the review:,Não precisei ligar o aquecedor.,Ningún aspecto
Please extract the aspect terms in the review:,"O quarto é pequeno, mas só utilizávamos ele pra dormir mesmo.",Ningún aspecto
Please extract the aspect terms in the review:,"O funcionário Mourad foi excelente e simpático nos ajudando a encontrar os lugares, a transportar as malas e a encontrar um transporte de volta para o aeroporto.",Ningún aspecto
Please extract the aspect terms in the review:,"O hotel é bom, limpo, com serviço bacana , internet grátis, mas a localização não é muito boa.",hotel [ssep] serviço [ssep] internet [ssep] localização
Please extract the aspect terms in the review:,"No entanto, ele está de frente para a estação de metrô Quai de la Gare e a poucos metros de um mercadinho e de uma padaria, onde se pode tomar café da manhã (o do hotel é pago e achei caro para o que se tinha).",Ningún aspecto
Please extract the aspect terms in the review:,"O quarto é bom, banheiro um pouco apertado, mas tudo bem limpo e organizado.",Ningún aspecto
Please extract the aspect terms in the review:,A equipe do hotel foi solícita e atenciosa.,Ningún aspecto
Please extract the aspect terms in the review:,"Hotel novo, boa localização, atendimento ágil e cortês.",hotel [ssep] localização [ssep] atendimento
Please extract the aspect terms in the review:,Há 5 minutos do Shopping Total.,shopping
Please extract the aspect terms in the review:,Ponto negativo: o room-service estava fechado.,Ningún aspecto
Please extract the aspect terms in the review:,Fomos atendidos pela nutricionista que foi bem atenciosa e rápida.,Ningún aspecto
Please extract the aspect terms in the review:,Recomendamos.,Ningún aspecto
Please extract the aspect terms in the review:,"O hotel fica ao lado da Korea Town, uma rua bem tranqüila com uma praça em frente e a Macys do outro lado, na rua 33 existe uma delegacia de policia o que torna a região bem segura mesmo a noite.",hotel [ssep] rua
Please extract the aspect terms in the review:,Quartos amplos e confortáveis.,Ningún aspecto
Please extract the aspect terms in the review:,A saída do metro é praticamente na porta do hotel (uns 10 metros da entrada).,Ningún aspecto
Please extract the aspect terms in the review:,Existem vários locais para tomar Café ao lado do Hotel.,Ningún aspecto
Please extract the aspect terms in the review:,Está a uma estação do Times Square e uma rua do Empire State.,Ningún aspecto
Please extract the aspect terms in the review:,"Estive a Paris no mês de outubro, e uma cidade magnifica, com um nivel cultural excelente.",cidade
Please extract the aspect terms in the review:,"Fiquei ospedada a um pequeno hotel muito bem localizado ao lado do museu do louvre, museu de orsay, notre dame....com um preço acessivel e uma boa recepçao .",hotel [ssep] museu [ssep] preço
Please extract the aspect terms in the review:,o café da manha e servido em uma agradavel sala e assim também e possivel conhecer gente de varias nacionalidades!!!,Ningún aspecto
Please extract the aspect terms in the review:,"Muito bom hotel, perto da estação de metro St Lazare, fica localizado perto das principais atrações de Paris para quem gosta de ir caminhando.",hotel
Please extract the aspect terms in the review:,O café da manhã é bom (pago) e internet bem rápida.,café da manhã [ssep] internet
Please extract the aspect terms in the review:,O atendimento sempre foi prestativo mesmo eu não falando francês e inglês.,atendimento
Please extract the aspect terms in the review:,"O quarto é bem limpo e tem frigobar, janelas que abrem e banheiro limpo e novo.",Ningún aspecto
Please extract the aspect terms in the review:,A única coisa é que poderiam colocar pelo menos um atendente que fale espanhol.,Ningún aspecto
Please extract the aspect terms in the review:,"Ótima localização, ótimo quarto.",localização
Please extract the aspect terms in the review:,"Você ainda pode desfrutar das piscinas com dj , estilo louge, Liquid Pool ,que o hotel ofere,super animado com muitos jovens.",piscina
Please extract the aspect terms in the review:,Muito satisfeita com minha escolha de hospedagem no Hotel Aria.,Ningún aspecto
Please extract the aspect terms in the review:,"É um hotel mais moderno e contemporâneo, se comparado ao Hotel Wynn por exemplo, que possui arquitetura mais clássica.",Ningún aspecto
Please extract the aspect terms in the review:,"O restaurante do hotel para almoco e café da manha é um espetáculo, e o preço super viável.",Ningún aspecto
Please extract the aspect terms in the review:,. Recomendadísimo.,Ningún aspecto
Please extract the aspect terms in the review:,"Eu e minha esposa estamos muitos satisfeitos com o Hotel Chandler por diversos motivos: Ótima localização, próximo ao Empire State e Broadway; atenção de todos funcionários, sem distinção, em todo o período; quarto muito aconchegante, com chuveiro excelente e itens de conforto de qualidade; limpeza e arrumação dos quartos; custo-benefício insuperável.",hotel [ssep] localização [ssep] funcionários [ssep] chuveiro [ssep] limpeza [ssep] custo-benefício
Please extract the aspect terms in the review:,"Ou seja, na nossa próxima viagem a NY, não temos dúvida da nossa escolha de estadia!",Ningún aspecto
Please extract the aspect terms in the review:,Padrão Ibis sem maiores surpresas.,padrão
Please extract the aspect terms in the review:,"Boa recepção e acomodação, ficamos no sexto andar com boa acomodação sem surpresa, nossos filhos ficaram no 1o.",recepção
Please extract the aspect terms in the review:,"Boa localização, perto de metro e rua tranquila.",localização [ssep] rua
Please extract the aspect terms in the review:,andar que na verdade seria um subsolo ou -1 onde o teto é baixo dando uma impressão quase claustrofobica.,Ningún aspecto
Please extract the aspect terms in the review:,Prefira ficar do 2o.,Ningún aspecto
Please extract the aspect terms in the review:,andar para cima.,Ningún aspecto
Please extract the aspect terms in the review:,Vale a pena.,Ningún aspecto
Please extract the aspect terms in the review:,Hotel muito bem localizado com apartamento espaçoso e confortável para 3 adultos.,hotel
Please extract the aspect terms in the review:, atendimento cordial e o serviço de quarto com arrumaçao e limpeza adequados.,atendimento [ssep] serviço de quarto [ssep] limpeza
Please extract the aspect terms in the review:,"  nos finais de semana, à partir da quinta feira, há o inconveniente das baladas promovidas pelo hotel, atraindo pessoas pouco educadas que provocam muito barulho e confusão no lobby do hotel, além de congestionamento e filas nos elevadores.",Ningún aspecto
Please extract the aspect terms in the review:,Hotel luxuoso com ótima estrutura.,hotel
Please extract the aspect terms in the review:,Recepção e lobby vultuosos.,recepção
Please extract the aspect terms in the review:,Funcionários educados e prestativos.,funcionários
Please extract the aspect terms in the review:,"Quarto amplo, cama king ótima e banheiro bom e limpo!",quarto [ssep] cama
Please extract the aspect terms in the review:,Chuveiro ótimo!,chuveiro
Please extract the aspect terms in the review:,Linda vista da cidade!,Ningún aspecto
Please extract the aspect terms in the review:,Piscina e quadra de tênis no alto do prédio.,Ningún aspecto
Please extract the aspect terms in the review:,"Localização é o único ponto negativo, pois fica a 1,7 km da Times Square (à pé) e o metrô mais perto fica linge, + ou - 800 mts.",Ningún aspecto
Please extract the aspect terms in the review:,"Quartos amplos e super limpos, pessoal muito amigável, Cassino gostoso com dealers simpáticos e engraçados.",quarto [ssep] cassino
Please extract the aspect terms in the review:,Indico para todos que procuram uma tarifa justa e conforto.,conforto
Please extract the aspect terms in the review:,Pode-se ir à pé até a Strip tranquilamente.,Ningún aspecto
Please extract the aspect terms in the review:,Room Tip: se ficar no apartamento de cima se poupará do barulho que seus vizinhos farão estando embaixo...,Ningún aspecto
Please extract the aspect terms in the review:,"O unico ponto negativo é o preço alto, mesmo com promoções fica um pouco apertado para o orçamento.",preço
Please extract the aspect terms in the review:,"Além disso, quase nada é incluído na diária, nao internet wi-fi cortesia, nem café da manha, nem estacionamento.",internet [ssep] estacionamento
Please extract the aspect terms in the review:,"Mas o hotel é lindo, limpo, os quartos sao grandes, as camas confortaveis.",hotel [ssep] quarto [ssep] cama
Please extract the aspect terms in the review:,"A localização é perfeita, a uma quadra da times square.",localização
Please extract the aspect terms in the review:,Amei minha estaida neste Hilton!,Ningún aspecto
Please extract the aspect terms in the review:,tudo pago á parte.,Ningún aspecto
Please extract the aspect terms in the review:,"É um hotel pequeno, organizado, agradável e muito limpo.",hotel
Please extract the aspect terms in the review:,"Quanto à localização, o bairro dispõe de transporte, supermercados, restaurantes e laundromats.",localização
Please extract the aspect terms in the review:,"o café da manhã é simples mas muito gostoso, com pães de primeira linha.",café da manhã
Please extract the aspect terms in the review:,"A equipe do hotel é gentil, educada e calorosa.",Ningún aspecto
Please extract the aspect terms in the review:,"Não tenho nada a reclamar, fomos muito bem atendidas.",Ningún aspecto
Please extract the aspect terms in the review:,"Fiquei hospedada lá pela localização, é perto do aeroporto e eles fazem o serviço de transfer.",localização [ssep] aeroporto [ssep] serviço
Please extract the aspect terms in the review:,"E também tive uma péssima experiência com o chuveiro rsrs ele demora a esquentar, cheguei lá meia noite e tive que tomar banho gelado.",chuveiro
Please extract the aspect terms in the review:,"Já o café da manhã é ótimo, o atendimento também, nada a reclamar disso.",café da manhã [ssep] atendimento
Please extract the aspect terms in the review:,"Porém essa boa localização foi a pior coisa, pois é muito barulho, não deu mesmo pra dormir a noite, não vale a pena!!!!",Ningún aspecto
Please extract the aspect terms in the review:,Ele fica em frente a linha de trem e avenida muito movimentada.,Ningún aspecto
Please extract the aspect terms in the review:,No dia seguinte fui perguntar e eles me disseram que demora uns 10 min. a esquentar.,Ningún aspecto
Please extract the aspect terms in the review:,"Porém não vale a pena pra mim, lá não fico mais.",Ningún aspecto
Please extract the aspect terms in the review:,"Quartos amplos, boa limpeza, bom atendimento...",quarto [ssep] limpeza [ssep] atendimento
Please extract the aspect terms in the review:,"Ficamos por 4 dias em Las Vegas e, por ser uma cidade relativamente pequena, procuramos nos hospedar em um hotel que ficasse próximo de tudo e com um bom custo/beneficio.",Ningún aspecto
Please extract the aspect terms in the review:,"Para quem esta procurando exatamente isso, o Flamingo é uma excelente opção!",Ningún aspecto
Please extract the aspect terms in the review:,Fica bem em frente aos principais hotéis da Strip e com muitas alternativas de transporte (o Flamingo tem uma estação de Monorail praticamente dentro do hotel).,Ningún aspecto
Please extract the aspect terms in the review:,"Enfim, recomendo!",Ningún aspecto
Please extract the aspect terms in the review:,"É extremamente bem localizado, com o melhor preço ao redor da times square.",preço
Please extract the aspect terms in the review:,"Foi reformado, funcionários atenciosos, quartos bons.",funcionários [ssep] quarto
Please extract the aspect terms in the review:,"Tinha muitos brasileiros hospedados lá e tem café da manhã, incluso.",café da manhã
Please extract the aspect terms in the review:,"Donuts, sucos, café e iogurte.",Ningún aspecto
Please extract the aspect terms in the review:,"Faltam mesas para todos setar pela manhã, mas se consegue comer.",Ningún aspecto
Please extract the aspect terms in the review:,"Foi minha quarta estadia em NYC e, com certeza, o melhor custo benefício.",Ningún aspecto
Please extract the aspect terms in the review:,"Localização excelente, atendimento e serviços de um cinco estrelas.",localização [ssep] atendimento [ssep] serviço
Please extract the aspect terms in the review:,Não tenho nada a me queixar do hotel.,hotel
Please extract the aspect terms in the review:,"Fui com minha esposa e filho, o quarto era amplo, cama de casal e cama extra, banheiro com um box e mais uma banheira, closet, sofá e poltrona.",cama
Please extract the aspect terms in the review:,Café da manhã de primeira.,café da manhã
Please extract the aspect terms in the review:,"Quarto reformado, já que o hotel parece ser tão antigo quanto o Louvre.",Ningún aspecto
Please extract the aspect terms in the review:,Realmente recomendo e pretendo ficar lá da próxima vez.,Ningún aspecto
Please extract the aspect terms in the review:,"Após termos passado por uma situação de overbooking, colocaram-nos neste hotel.",hotel
Please extract the aspect terms in the review:, A única vantagem é a localização e o facto de oferecerem sandes para o almoço.,localização [ssep] almoço
Please extract the aspect terms in the review:,"  A casa de banho era minúscula, não tinha gel de banho nem champô, as camas estavam com cabelos, inclusive os copos da casa de banho.",cama
Please extract the aspect terms in the review:," Apesar dos recepcionistas serem atenciosos, o hotel é muito mau.",Ningún aspecto
Please extract the aspect terms in the review:, O pequeno-almoço não tinha praticamente nada e demoraram muito tempo a repor o leite e o café.,Ningún aspecto
Please extract the aspect terms in the review:,Ficamos oito noites neste hotel.,hotel
Please extract the aspect terms in the review:,Quartos foram limpos todos os dias.,quarto
Please extract the aspect terms in the review:,As camareiras trocam as toalhas duas vezes ao dia e dÃ£o muiiitos chocolates.,toalha
Please extract the aspect terms in the review:,NÃ£o deixou nada a desejar.,Ningún aspecto
Please extract the aspect terms in the review:,"A piscina Ã© Ã³tima, apenas tem que ir pela manhÃ£ para conseguir lugares perto da piscina.",Ningún aspecto
Please extract the aspect terms in the review:,Os restaurantes sÃ£o Ã³timos e a localizaÃ§Ã£o Ã© perfeita.,Ningún aspecto
Please extract the aspect terms in the review:,"Se você precisa de um lugar perto da rodoviária, para passar pouquíssimo tempo, ainda assim eu indicaria outro hotel.",rodoviária [ssep] hotel
Please extract the aspect terms in the review:,"Óbvio que eu não esperava um 5 estrelas (pelo site e pelo preço da tarifa dá pra saber), mas mesmo assim achei que a estrutura seria melhor e que seria mais limpo.",preço
Please extract the aspect terms in the review:,"Quarto antigo, banheiro péssimo.",quarto
Please extract the aspect terms in the review:,Eu acho que os únicos pontos positivos foram a proximidade com a rodoviária e um bom atendimento na recepção.,atendimento [ssep] recepção
Please extract the aspect terms in the review:,"Quarto sem ar condicionado, mas não foi problema mesmo indo no meio de junho.",quarto
Please extract the aspect terms in the review:,Rua com boa iluminação e nessa época do ano com várias pessoas na rua.,rua [ssep] iluminação
Please extract the aspect terms in the review:,"Muito bem recebido, hospitaleiros.",Ningún aspecto
Please extract the aspect terms in the review:,Falam inglês e espanhol.,Ningún aspecto
Please extract the aspect terms in the review:,8 minutos do metrô.,Ningún aspecto
Please extract the aspect terms in the review:,Andamos eu e minha esposa vários dias após a meia noite,Ningún aspecto
Please extract the aspect terms in the review:,Recomendo a todos,Ningún aspecto
Please extract the aspect terms in the review:,"Eu e minha colega reservamos um quarto duplo, por telefone, com um mês de antecedência, para fazer um curso em Poa.",quarto [ssep] telefone
Please extract the aspect terms in the review:,"Quando chegamos ao hotel, perto das 22:00, fomos informadas de que a reserva não estava confirmada!",hotel
Please extract the aspect terms in the review:,"Então nos arrumaram um quarto com somente uma cama de casal, e não havia ninguém da manutenção ou alguém com vontade para colocar uma cama extra no quarto.",casal
Please extract the aspect terms in the review:,"No outro dia nos mudaram de quarto, e é claro que nós mesmas que tivemos que fazer esta mudança, então o problema foi outro, não conseguimos tomar banho direito, pois só havia uma regulagem no chuveiro: quente, num dia quente!",chuveiro
Please extract the aspect terms in the review:,"Solicitamos falar com a gerente, mais de cinco vezes.",gerente
Please extract the aspect terms in the review:,"Allém de tudo isso, é claro, há o barulho da rua, dia e noite, insuportável!!",rua
Please extract the aspect terms in the review:,"O hotel é pessimo, tanto em atendimento quanto em acomodações.",atendimento
Please extract the aspect terms in the review:,"Resultado: tivemos que aceitar, pois não havia como procurar outro hotel aquela hora.",Ningún aspecto
Please extract the aspect terms in the review:,"O hotel é em um prédio muito antigo e necessita de reforma urgentes, o teto parecia que ia cair na nossa cabeça.",Ningún aspecto
Please extract the aspect terms in the review:,As condições deste banheiro eram piores do que o primeiro.,Ningún aspecto
Please extract the aspect terms in the review:,"No entanto, não fomos atendidas!",Ningún aspecto
Please extract the aspect terms in the review:,"Parte boa: Hotel bem localizado no centro, próximo à prefeitura, mercado municipal, shopping, usina do gasometro, etc.",hotel [ssep] shopping
Please extract the aspect terms in the review:,Parte ruim: Instalações e serviço deixaram a desejar.,instalações [ssep] serviço
Please extract the aspect terms in the review:,"A recepção parece que foi reformada, pois está novinha e muito bem cuidada, com relação ao resto do hotel.",recepção
Please extract the aspect terms in the review:,"Quarto com cheiro de mofo, moveis antigos, instalações mal conservadas no banheiro.",quarto
Please extract the aspect terms in the review:,"Café da manhã muito muito, muito caro.",café da manhã
Please extract the aspect terms in the review:,"Quarto e banheiro mínimos, era quase impossível abrir a mala no chão, tinha que abrir a porta do quarto.",quarto
Please extract the aspect terms in the review:,"Cama razoável, assim como o atendimento da recepção, a localização é interessante, mas a estação de metrô próxima ao hotel, é uma das piores de Paris (Place Monge), com uma infinidade de degraus a subir.",cama [ssep] atendimento [ssep] recepção
Please extract the aspect terms in the review:,Café da manhã bom.,café da manhã
Please extract the aspect terms in the review:,Muito bem localizado com pessoal de recepção bem prestativo.,recepção
Please extract the aspect terms in the review:,Achei falho o serviço de quarto.,serviço de quarto
Please extract the aspect terms in the review:,Achei o café da manhã ruim para quem fica muito tempo como fiquei 09 dias.,café da manhã
Please extract the aspect terms in the review:,duas pessoas falam o portugues e são otimos.,Ningún aspecto
Please extract the aspect terms in the review:,Fiquei muito impressionado com a presteza de Ricardo na recepção.,Ningún aspecto
Please extract the aspect terms in the review:,Fica praticamente a 100 metros de ponto de metrô.,Ningún aspecto
Please extract the aspect terms in the review:,duas vezes esquerceram de abastecer meu frigobar.,Ningún aspecto
Please extract the aspect terms in the review:,A suite que fiquei cabe muito bem para um casal e até dois filhos.,Ningún aspecto
Please extract the aspect terms in the review:,tem uma porta de correr que separa os ambientes.,Ningún aspecto
Please extract the aspect terms in the review:,O melhor desse hotel foi a excelente vista do nosso quarto pra Torre Eiffel.,hotel [ssep] quarto
Please extract the aspect terms in the review:,"O café da manhã não é bom, tem poucas opções, ficamos cinco dias no terceiro não conseguiamos mais comer as mesmas coisas.",café da manhã
Please extract the aspect terms in the review:,A localização é boa por ser próximo de duas estações.,localização
Please extract the aspect terms in the review:,Os quartos são funcionais e limpos.,Ningún aspecto
Please extract the aspect terms in the review:,Room Tip: Solicitar vista pra Torre Eiffel.,Ningún aspecto
Please extract the aspect terms in the review:,"Gostei muito do quarto e banheiros espaçosos, a cozinha equipada e as camas e roupas de camas maravilhosas - limpas e macias.",quarto [ssep] cozinha [ssep] cama
Please extract the aspect terms in the review:,O atendimento foi impecável!,atendimento
Please extract the aspect terms in the review:,Estive hospedada no hotel por uma semana com minha mãe (70 anos) e filha (5 anos).,Ningún aspecto
Please extract the aspect terms in the review:,"Uma excelente opção para New York, principalmente, em virtude da cozinha em que pudemos fazer as comidas que minha filha gosta e tomar belos cafés da manhã.",Ningún aspecto
Please extract the aspect terms in the review:,"Com certeza, retornarei a este hotel quando voltar a New York.",Ningún aspecto
Please extract the aspect terms in the review:,A grande vantagem do hotel é que por pertencer a uma rede o hóspede sabe o que vai encontrar.,hotel
Please extract the aspect terms in the review:,O único ponto negativo foi a qualidade do colchão.,colchão
Please extract the aspect terms in the review:,"A localização é muito boa, já que tem rápido e fácil acesso a duas linhas de metro.",localização
Please extract the aspect terms in the review:,Estava tudo funcionando bem.,Ningún aspecto
Please extract the aspect terms in the review:,"Além disso, pode-se chegar caminhando a vários locais como restaurantes e mesmo pontos turísiticos.",Ningún aspecto
Please extract the aspect terms in the review:,O hotel fica próximo aos pontos de transporte como trens e metrôs.,hotel
Please extract the aspect terms in the review:,"Algumas informações como estacionamentos se limitaram a apontar a direção, sem um mapa ou alguma dicas de tarifas.",estacionamento
Please extract the aspect terms in the review:,Existe um conjunto de restaurantes e comércio próximo intenso e diversificado.,Ningún aspecto
Please extract the aspect terms in the review:,"Os atendentes não forão rudes, mas também não foram simpáticas.",Ningún aspecto
Please extract the aspect terms in the review:,Ficamos sabendo que alguns tinham tarifas diferenciadas na pernoite.,Ningún aspecto
Please extract the aspect terms in the review:,"Belo hotel , bem localizado, novo, limpo, muita tecnologia nos quartos   apartmento amplo (o corredor é um pouco estreito e longo) mais em las vegas é tudo asim grande  arquitetura linda  cassino limpo amplo e pessoal cortez   buffet muito bom   gostei voltaria  Room Tip: nao pegue andares baixos pois ha uma piramide no edificio ai tapa toda a vista creio ter que ser a...",hotel [ssep] quarto [ssep] corredor [ssep] cassino
Please extract the aspect terms in the review:,"Ficamos hospedados 1 noite ótimo quarto tudo novo, camas excelentes frigobar completo, atendimento bom, muito silencioso e ar condicionado split",quarto [ssep] frigobar [ssep] atendimento
Please extract the aspect terms in the review:,"Ja me hospedei 2 vezes neste hotel, custo beneficio 100%",hotel
Please extract the aspect terms in the review:,"Apesar da ótima localização, o Express do Açores é péssimo.",localização
Please extract the aspect terms in the review:,"A portaria é arrumadinha e os funcionários corteses, mas no elevador já dá pra sentir o drama.",funcionários [ssep] elevador
Please extract the aspect terms in the review:,"O quarto é velho e o banheiro um caso de saúde pública, já que no box o piso é um laminado plástico por cima do azulejo e super mofado por baixo, um chuveiro ruim e sem ventilação.",quarto [ssep] chuveiro
Please extract the aspect terms in the review:,Não tem nenhuma condição de estar figurando em listas de hotéis disponíveis.,Ningún aspecto
Please extract the aspect terms in the review:,O café é básico com Soborôs sortidos de ontem.,Ningún aspecto
Please extract the aspect terms in the review:,Não gostamos e não recomendo pra ninguém.,Ningún aspecto
Please extract the aspect terms in the review:,"Excelente hotel, sem cassino e aquela confusao dos outros hoteis , mas perto de tudo, em frente ao shopping, com servico de transfer para o cesar e o wynn.",hotel [ssep] cassino [ssep] shopping
Please extract the aspect terms in the review:,"Meu unico porem e o chuveiro do banheiro que nao e tao bom, para um banheiro maravilhoso como aquele com jacuzi e televisao o chuveiro poderia ser melhor.",chuveiro
Please extract the aspect terms in the review:,"Check inn e checkout rapidos, equipe atenciosa, fantastico.",Ningún aspecto
Please extract the aspect terms in the review:,Hotel é limpo e muito bem localizado.,hotel
Please extract the aspect terms in the review:,"O quarto com cama de casal realmente é bem pequeno, mal havia espaço para abrir uma mala.",quarto [ssep] cama [ssep] casal
Please extract the aspect terms in the review:,"No entanto, a distribuição do espaço é inteligente e, numa cidade como Nova Iorque, a última coisa que se pretende é perder tempo no quarto do hotel.",cidade
Please extract the aspect terms in the review:,"Ótimo ter internet liberada, secador e estação para IPod para se ouvir música.",internet [ssep] secador
Please extract the aspect terms in the review:,Ficaria novamente.,Ningún aspecto
Please extract the aspect terms in the review:,O hotel tem excelente localização perto do jardim de Luxemburgo e do Panteão....,localização
Please extract the aspect terms in the review:,Um quarto e banheiro super pequenos.,quarto
Please extract the aspect terms in the review:,O box fica a quase 50cm do chao e o chuveiro é baixo.,chuveiro
Please extract the aspect terms in the review:,"Barulho do elevador, dos hóspedes e da rua eram uma constante.",elevador [ssep] rua
Please extract the aspect terms in the review:,Porem o hotel em si é super basico.,Ningún aspecto
Please extract the aspect terms in the review:,Nos deram um quarto no térreo...,Ningún aspecto
Please extract the aspect terms in the review:,Vale pelo custo e localização.,Ningún aspecto
Please extract the aspect terms in the review:,Ficamos no Cassa Hotel de 14 a 19 de abril de 2013.,hotel
Please extract the aspect terms in the review:,"Obs.: Internet no quarto é paga, mas no restaurante (10º andar) é liberado.",internet
Please extract the aspect terms in the review:,"O café da manhã é pago e o restaurante conta com poucas e caras opções, mas existem muitos restaurantes e cafés próximos ao hotel.",café da manhã
Please extract the aspect terms in the review:,"O Hotel é novo, limpo, confortável, bonito, sem barulho, próximo a Times Square e dos principais pontos turísticos e de compras.",Ningún aspecto
Please extract the aspect terms in the review:,"A localização é excepcional, a melhor que já vi, fica ao lado do metrô, exatamente ao lado.",localização
Please extract the aspect terms in the review:,"O quarto é pequeno, porém para quem passeia o dia inteiro e só quer chegar e relaxar é ótimo.",quarto
Please extract the aspect terms in the review:,Dispõe de uma banheira também.,banheira
Please extract the aspect terms in the review:,O café da manhã é maravilhoso! muito bom!,café da manhã
Please extract the aspect terms in the review:,Recomendo e com certeza ficaria novamente!,Ningún aspecto
Please extract the aspect terms in the review:,"O hotel se diz pronto para atender a familia com criancas, mas achei o hotel mais direcionado para negocios.",hotel
Please extract the aspect terms in the review:,"Cafe da manha excelente, atendimento muito fraco e acomodacoes pequenas para um casal e duas criancas no mesmo quarto.",atendimento [ssep] casal [ssep] quarto
Please extract the aspect terms in the review:,O lobby tem uma area com jogos para as criancas.,Ningún aspecto
Please extract the aspect terms in the review:,A localizacao e excelente.,Ningún aspecto
Please extract the aspect terms in the review:,Este hotel é perfeito e tudo funciona!,hotel
Please extract the aspect terms in the review:,"Internet super rápida, funcionários atenciosos e elevadores rápidos.",internet [ssep] funcionários [ssep] elevador
Please extract the aspect terms in the review:,"As crianças irão adorar, pois está muito bem localizado, perto de teatros, lojas de brinquedos, etc.",teatro [ssep] lojas
Please extract the aspect terms in the review:,"Recomendo este hotel a qualquer turista em férias em New York, especialmente aqueles com crianças.",Ningún aspecto
Please extract the aspect terms in the review:,"Gostamos muito do hotel, tudo pertinho: Times Square, teatros da broadway, 5th avenida, fomos a esses lugares tudo a pé.",hotel [ssep] teatro
Please extract the aspect terms in the review:,"A limpeza dos quartos é impecável, funcionários gentis, ficaríamos novamente.",limpeza [ssep] funcionários
Please extract the aspect terms in the review:,"Quanto ao café da manhã que está incluído na diária diria que é bom, com iogurte, frutas, pães e suco, mas nada comparável com o café aqui dos hóteis do Brasil que estamos habituados .",café da manhã
Please extract the aspect terms in the review:,Metrô a 100 m do hotel para os passeios mais distantes.,Ningún aspecto
Please extract the aspect terms in the review:,Realmente uma pérola.,Ningún aspecto
Please extract the aspect terms in the review:,Conheci o Hotel pois fiz um evento no local onde é disponibilizado salas para tal fim.,hotel
Please extract the aspect terms in the review:,"O Hotel é antigo, tem quantos, novos e antigos,O valor é muito bom, o café da manhã é ótimo, bem sortido, o local é de fácil acesso, fica em frente a rodoviária para quem chega de ônibus e quem precisa vir ou ir ao aeroporto, atravessa a rua e vai de metro até a estação aeroporto.",café da manhã [ssep] rodoviária [ssep] aeroporto [ssep] rua
Please extract the aspect terms in the review:,"Só não aconselho ir passear ao redor do hotel a pé pois é muito perigoso, mas tem shopping e bem pertinho que o valor de táxi será aproximadamente 10,00 reais, durante o dia é possível ir até o centro conhecer fazendo uma caminhada.",shopping
Please extract the aspect terms in the review:,Acabei me hospedando ali mesmo.,Ningún aspecto
Please extract the aspect terms in the review:,"Hotel impecável pela apresentação, limpeza e comodidade, e além de tudo o preço é muito bom!",hotel [ssep] limpeza [ssep] preço
Please extract the aspect terms in the review:,"Tem uma estação de metrô próxima ao Hotel, e é uma rua com excelente gastronomia.",rua
Please extract the aspect terms in the review:,"Diariamente, uma garrafa de água no quarto de cortesia do hotel, e café solúvel e leite também.",quarto
Please extract the aspect terms in the review:,O café da manhã é excelente!,café da manhã
Please extract the aspect terms in the review:,Adorei!,Ningún aspecto
Please extract the aspect terms in the review:,E Montparnasse é lindíssimo!!!,Ningún aspecto
